id,naziv,tip_ulice,ogranicenje_brzine,duzina_km
2981,Петроварадинска чесма,secondary,50,0.17212235278728097
2982,Петроварадинска чесма,secondary,50,0.13997964456813908
2994,Петроварадинска чесма,secondary,50,0.17317634716063607
2997,Петроварадинска чесма,secondary,50,0.019387424930118077
2999,Петроварадинска чесма,secondary,50,0.06855492030423367
3001,Петроварадинска чесма,secondary,50,0.03676207642671769
3002,Карловачки друм,secondary,50,0.019509577244316168
3003,Карловачки друм,secondary,0,0.128288996099124
3010,Карловачки друм,secondary,0,0.06885125254138126
3013,Карловачки друм,secondary,0,0.0938887202592641
3041,Буковачки пут,tertiary,0,0.22379304636792013
3044,Буковачки пут,tertiary,30,0.05317373648585645
3061,Буковачки пут,tertiary,0,0.08219716224959475
3065,Буковачки пут,tertiary,0,0.12621250811251997
3091,Карловачки друм,secondary,0,0.42230817043144814
3097,Буковачки пут,tertiary,0,0.23600332245944486
3102,Рачког,primary,80,0.06239181053692191
3103,Рачког,primary,50,0.06167826299639516
3105,Рачког,primary,80,0.10948733909115285
3106,Рачког,primary,50,0.10794452219667575
3108,Рачког,primary,0,0.011525530969400682
3109,Рачког,primary,0,0.011305278437813107
3128,Рачког,primary,0,0.21887785195370957
3134,Буковачки пут,tertiary,30,0.05058963116579651
3137,Буковачки пут,tertiary,0,0.07881206770783976
3141,Буковачки пут,tertiary,0,0.2055784173715108
3150,Рачког,primary,0,0.34350276047296385
3151,Карловачки друм,secondary,0,0.183772849487291
3161,Буковачки пут,tertiary,0,0.1661425736840491
3173,Карловачки друм,secondary,0,0.17666820894569082
3176,Карловачки друм,secondary,0,0.2593710831251289
3183,Буковачки пут,tertiary,0,0.07348794576342584
3185,Рачког,primary,0,0.05615522578719656
3227,Рачког,primary,0,0.06891989549909687
3189,Рачког,primary,0,0.12659795043815694
3193,Буковачки пут,tertiary,0,0.03727532769440208
3194,Рачког,primary,0,0.05149740907373999
3199,Буковачки пут,tertiary,0,0.007422802092455447
3204,Рачког,primary,0,0.1222112973240285
3206,Буковачки пут,tertiary,0,0.19591966756317836
3214,Карловачки друм,secondary,0,0.12839392895815063
3229,Карловачки друм,secondary,0,0.08394307309261624
3239,Буковачки пут,tertiary,0,0.05066714067706315
3241,Рачког,primary,0,0.02628042153163248
3243,Nepoznata ulica,tertiary,0,0.042919628203075176
3244,Рачког,primary,0,0.028129544160133683
3246,Nepoznata ulica,tertiary,0,0.007519861175231165
3248,Рачког,primary,30,0.0260391615349559
3251,Рачког,primary,30,0.03423082837168373
3256,Карловачки друм,secondary,0,0.028438312930117633
3259,Карловачки друм,secondary,0,0.09576713153524653
3262,Nepoznata ulica,tertiary,60,0.011187585645801043
3263,Nepoznata ulica,tertiary,0,0.011329166680386795
3264,Nepoznata ulica,tertiary,60,0.042141278377151606
3265,Nepoznata ulica,tertiary,0,0.03970883855796327
3266,Nepoznata ulica,tertiary,0,0.014712564173767718
3267,Nepoznata ulica,trunk,80,0.04412673216649586
3271,Nepoznata ulica,trunk,80,0.07807913528078671
3272,Nepoznata ulica,tertiary,0,0.09457852871742557
3273,Nepoznata ulica,tertiary,60,0.22426527172974162
3274,Каменички пут,secondary,0,0.04032088328867729
3275,Nepoznata ulica,trunk,80,0.068276411666782
3276,Nepoznata ulica,trunk,80,0.08286382353831016
3277,Nepoznata ulica,trunk,80,0.08937277757168646
3278,Nepoznata ulica,trunk,80,0.0576915539058091
3279,Nepoznata ulica,trunk,80,0.1980447836087403
3280,Nepoznata ulica,trunk,80,0.1804309338783309
3282,Тунел Мишелук,trunk,80,0.3640700414980869
3283,Nepoznata ulica,tertiary,0,0.19275694195827944
3284,Тунел Мишелук,trunk,80,0.3553743363272375
3285,Каменички пут,secondary,0,0.1429637624139353
3286,Каменички пут,secondary,0,0.24712890853382827
3288,Nepoznata ulica,tertiary,60,0.06476916668519364
3289,Nepoznata ulica,tertiary,60,0.17365750720369608
3290,Каменички пут,secondary,0,0.05440497022450081
3295,Nepoznata ulica,tertiary,60,0.061527967339672
3299,Nepoznata ulica,tertiary,0,0.07860557540302104
3300,Nepoznata ulica,tertiary,60,0.05655280311721677
3301,Каменички пут,secondary,0,0.06091187314722345
3302,Каменички пут,secondary,0,0.04069484566203657
3303,Nepoznata ulica,tertiary,0,0.06291349981067583
3304,Nepoznata ulica,tertiary,60,0.03192321892865453
3305,Каменички пут,secondary,50,0.010697482068385781
3309,Војводе Путника,secondary,0,0.004834464923586637
3310,Војводе Путника,secondary,50,0.041603361160074674
3311,Војводе Путника,secondary,0,0.05149192143400897
3314,Војводе Путника,secondary,0,0.11965772819732709
3315,Војводе Путника,secondary,0,0.09926203178350057
3316,Војводе Путника,secondary,0,0.042736506034340094
3317,Војводе Путника,secondary,0,0.04420561488448491
3318,Nepoznata ulica,secondary,0,0.06247670656273749
3319,Nepoznata ulica,secondary,0,0.06386858368491831
3321,Nepoznata ulica,trunk,80,0.030059008793537272
3322,Nepoznata ulica,trunk,80,0.02696423701426269
3323,Мост слободе,trunk,80,1.3186934140965252
3324,Мост слободе,trunk,80,1.313412254261661
3395,Народног фронта,tertiary,0,0.3157762363446598
3397,Булевар ослобођења,secondary,0,0.2592597416372052
3398,Народног фронта,tertiary,0,0.3246208752025161
3401,Булевар ослобођења,secondary,0,0.11519080334922635
3411,Каменички пут,secondary,0,0.037547339964892124
3412,Каменички пут,secondary,0,0.08107654334152643
